key_mlbam,key_retro,key_fangraphs,name_last,name_first
124205,whitg102,1013876,Whiteley,Guerdon
118182,makof101,1008007,Makosky,Frank
490997,byrnj902,-1,Byrne,Jon
136270,baptt001,1000521,Baptist,Travis
820341,browe105,-1,Brown,Elmer
118106,macwk101,1007937,MacWhorter,Keith
506648,herry001,7759,Herrera,Yoslán
-1,bovet901,-1,Bovey,Terry
117017,kerrj102,1006874,Kerr,John
112321,clare101,1002279,Clark,Ed
115683,heatn001,1005568,Heaton,Neal
455090,egbej001,7487,Egbert,Jack
121028,reidb102,1010792,Reid,Billy
119732,nevip001,1049,Nevin,Phil
124177,whitj106,1013879,White,Jack
820802,jennt101,-1,Jennings,Thurman
112475,colej106,1002423,Coleman,Jerry
117537,laudt001,1007381,Laudner,Tim
817990,nearh101,-1,Nears,Henry
122710,steej001,1012453,Steels,James
519096,oterd001,7385,Otero,Dan
118282,margj101,1008105,Margoneri,Joe
665871,assaj001,21741,Assad,Javier
112224,chead101,1002170,Cheadle,Dave
407053,johna001,733,Johnson,Adam
608700,plawk001,13807,Plawecki,Kevin
122370,smitd105,1012116,Smith,Dave
110634,barrs101,1000619,Barry,John
116898,keenj103,1006750,Keenan,Jimmie
116058,holba001,1960,Holbert,Aaron
819595,faceu101,-1,Face,
431092,zaveb701,-1,Zavestoski,Bill
117356,kuhej101,1007202,Kuhel,Joe
819686,duncf101,-1,Duncan,Frank
117215,knoxc101,1007062,Knox,Cliff
113038,danij102,1002972,Daniels,Jack
451546,depaj003,2786,De Paula,Julio
694192,chouj001,28806,Chourio,Jackson
116196,hovlj101,1006070,Hovlik,Joe
122330,slusj001,1012071,Slusarski,Joe
-1,guere801,-1,Guerrero,Epy
-1,chanm901,-1,Chandler,Moses
111262,bottr001,948,Bottalico,Ricky
672569,campg001,-1,Campero,Gustavo
119051,milej101,1008863,Miles,Jim
501255,ynoar001,2832,Ynoa,Rafael
819779,dewis101,-1,Dewitt,Samuel
534229,longd801,-1,Long,Don
110468,baked102,1000448,Baker,Del
112260,chrim101,1002219,Chris,Mike
628333,despo001,16017,Despaigne,Odrisamer
817434,rossd102,-1,Ross,Dick
112096,cassh101,1002049,Cassady,Harry
-1,quisu901,-1,Queisser,Art
120887,raglf101,1010651,Ragland,Frank
119197,mitcd101,1009000,Mitchell,Dale
119534,muram101,1009336,Murakami,Masanori
124587,wortc101,1014265,Wortman,Chuck
118676,mcfah101,1008493,McFarland,Howie
121224,ripla101,1010979,Ripley,Allen
116258,hudlr001,1006131,Hudler,Rex
448276,carrb001,8066,Carroll,Brett
117727,lewad101,1007572,Lewallyn,Dennis
114115,figub001,1004036,Figueroa,Bien
-1,zellr101,-1,Zellars,Reid
120230,parkc001,1009999,Parker,Clay
430944,jacob002,2368,Jacobsen,Bucky
115485,harmb101,1005371,Harmon,Bob
817226,,-1,Smith,
650888,black701,-1,Blackstone,Kara
112900,cruzh102,1002840,Cruz,Henry
537953,navad002,5450,Nava,Daniel
123086,tannj101,1012822,Tannehill,Jesse
115114,greer001,1252,Greer,Rusty
114844,gland001,956,Glanville,Doug
119136,millj108,1008944,Milligan,John
572119,schup001,10029,Schuster,Patrick
-1,pachj901,-1,Pacheco,Jim
117057,kille101,1006908,Killian,Ed
276913,turnd001,1694,Turnbow,Derrick
572910,hassa002,9959,Hassan,Alex
112227,cheeh101,1002173,Cheek,Harry
118791,mclab103,1008607,McLaughlin,Barney
624427,gonss001,15492,Gonsalves,Stephen
112497,collo102,1002459,Collier,Orlin
112014,carmc101,1001970,Carmichael,Chet
115132,grieb001,1209,Grieve,Ben
680694,bradk001,24586,Bradish,Kyle
818244,mcdaf101,-1,McDaniel,Fred
114954,gooda101,1004861,Goodwin,Art
123862,wallj001,1013550,Wallace,Jeff
