year,base_state,outs,avg_re,count
2023,3,2,0.4759067811459611,5707
2023,4,0,1.4672489082969433,458
2023,4,1,0.986728216964801,1733
2023,4,2,0.36547662863452335,2717
2023,5,0,1.826222684703434,961
2023,5,1,1.1825396825396826,2142
2023,5,2,0.5340718361866398,2979
2023,6,0,1.9219858156028369,705
2023,6,1,1.3808641975308642,1620
2023,6,2,0.543640897755611,2005
2023,7,0,2.2270916334661353,753
2023,7,1,1.595340282035561,1631
2023,7,2,0.7816411682892906,2157
2024,0,0,0.4876168276665845,44617
2024,0,1,0.2619569853165174,32826
2024,0,2,0.09773553468645865,26408
2024,1,0,0.8935172154986396,10659
2024,1,1,0.5282704259511899,13194
2024,1,2,0.227603439406188,13607
2024,2,0,1.0949839914621131,3748
2024,2,1,0.6718460969293377,5406
2024,2,2,0.34076792772444947,7084
2024,3,0,1.4796597633136095,2704
2024,3,1,0.9244532803180915,4527
2024,3,2,0.4481132075471698,5512
2024,4,0,1.3995327102803738,428
2024,4,1,0.958974358974359,1755
2024,4,2,0.3529197080291971,2740
2024,5,0,1.8839190628328009,939
2024,5,1,1.2044790652385589,2054
2024,5,2,0.4998259658893143,2873
2024,6,0,1.9939577039274925,662
2024,6,1,1.3771929824561404,1596
2024,6,2,0.5897560975609756,2050
2024,7,0,2.2929577464788733,710
2024,7,1,1.5860250494396835,1517
2024,7,2,0.8094742321707444,1921
2025,0,0,0.4974404828434112,44735
2025,0,1,0.2661652756122168,32709
2025,0,2,0.1031509880216678,26214
2025,1,0,0.8872649413517036,10742
2025,1,1,0.5184009672787727,13233
2025,1,2,0.22710568866676467,13606
2025,2,0,1.1218432699817755,3841
2025,2,1,0.6532626576494243,5471
2025,2,2,0.3189812860560011,7107
2025,3,0,1.5773308957952468,2735
2025,3,1,0.9547185780787135,4726
2025,3,2,0.45863309352517984,5560
2025,4,0,1.3300733496332517,409
2025,4,1,0.8972972972972973,1665
2025,4,2,0.3430408472012103,2644
2025,5,0,1.8294243070362473,938
2025,5,1,1.2219033955045433,2091
2025,5,2,0.476303317535545,2954
2025,6,0,1.9638728323699421,692
2025,6,1,1.3982947624847746,1642
2025,6,2,0.5737789203084833,1945
2025,7,0,2.439189189189189,740
2025,7,1,1.5880877742946709,1595
2025,7,2,0.7547557840616966,1945
